Year,Area harvested,Production,Yield
1977,7800,3200,0.4103
1977,1455,708,0.4866
1977,16805,17693,1.0528
1977,6230,3685,0.5915
1977,3800,1655,0.4355
1977,15138,13349,0.8818
1977,2000,400,0.2
1977,14000,4200,0.3
1977,1486,941,0.6332
1977,2384300,520200,0.2182
1977,6500,4000,0.6154
1977,9180,4633,0.5047
1977,180,100,0.5556
1977,348,129,0.3707
1977,16000,6500,0.4063
1977,204701,121318,0.5927
1977,130,80,0.6154
1977,7000,3000,0.4286
1977,598291,92523,0.1546
1977,7560,5240,0.6931
1977,128000,38000,0.2969
1977,31623,12612,0.3988
1977,180,89,0.4944
1977,115,93,0.8087
1977,57619,29950,0.5198
1977,3185,1862,0.5846
1977,2000,1000,0.5
1977,75000,40600,0.5413
1977,24508,11533,0.4706
1977,39318,18283,0.465
1977,35200,23400,0.6648
1977,7100,1550,0.2183
1977,31750,23500,0.7402
1977,133000,38100,0.2865
1977,40000,11379,0.2845
1977,151037,82070,0.5434
1977,18400,5640,0.3065
1977,15000,10900,0.7267
1978,40000,21000,0.525
1978,7000,2000,0.2857
1978,80000,52000,0.65
1978,2400,600,0.25
1978,5000,3000,0.6
1978,38740,9500,0.2452
1978,6000,3000,0.5
1978,30000,5532,0.1844
1978,27428,7599,0.2771
1978,29000,9900,0.3414
1978,639700,323173,0.5052
1978,637600,322000,0.505
1978,2100,1173,0.5586
1978,26900,13700,0.5093
1978,500,210,0.42
1978,150,80,0.5333
1978,9000,4500,0.5
1978,187,71,0.3797
1978,8400,2300,0.2738
1978,800,454,0.5675
1978,9802,9213,0.9399
1978,5594,4094,0.7319
1978,2600,1040,0.4
1978,16000,14357,0.8973
1978,2000,400,0.2
1978,14000,4500,0.3214
1978,3000,3000,1
1978,2389100,514100,0.2152
1978,6500,4000,0.6154
1978,18072,8634,0.4778
1978,240,100,0.4167
1978,317,44,0.1388
1978,17200,7000,0.407
1978,243760,133921,0.5494
1978,130,80,0.6154
1978,7000,3000,0.4286
1978,605677,111102,0.1834
1978,8533,5485,0.6428
1978,130000,38000,0.2923
1978,45849,18734,0.4086
1978,180,90,0.5
1978,100,83,0.83
1978,70475,32002,0.4541
1978,1175,1329,1.1311
1978,2100,1000,0.4762
1978,75000,40000,0.5333
1978,12400,5400,0.4355
1978,35723,19018,0.5324
1978,46256,29900,0.6464
1978,7200,1600,0.2222
1978,35000,23600,0.6743
1978,136100,39600,0.291
1978,55000,15069,0.274
1978,141335,65254,0.4617
1978,26330,7580,0.2879
1978,15200,9300,0.6118
1979,47200,25200,0.5339
1979,7000,2000,0.2857
1979,95000,50000,0.5263
1979,2400,600,0.25
1979,5000,3000,0.6
1979,29445,6604,0.2243
1979,7000,2500,0.3571
1979,30000,5450,0.1817
1979,34711,10465,0.3015
1979,30500,11300,0.3705
1979,845304,418015,0.4945
1979,843300,417000,0.4945
1979,2004,1015,0.5065
1979,27700,15600,0.5632
1979,510,220,0.4314
1979,150,80,0.5333
1979,5600,2800,0.5
1979,134,51,0.3806
1979,10000,4500,0.45
1979,1020,553,0.5422
1979,15586,16000,1.0266
1979,9860,7135,0.7236
1979,3200,1389,0.4341
1979,16000,13220,0.8263
1979,2000,400,0.2
1979,13887,4125,0.297
1979,3000,3000,1
1979,2377200,347700,0.1463
1979,6500,4000,0.6154
